name-of-company,name-of-job,location,salary,tech
TSMC3.1,Supervising Production Engineer,"Camas, WA",$66K - $98K (Employer est.),Java
Highlight Technologies4.6,DevSecOps Architect,United States,,Java
Infosys3.3,Oracle Transportation management Solution Architect,United States,,Java
Tentamus2.7,Software Developer,"Portland, OR",$75K - $90K (Employer est.),Java
Oregon Health & Science University3.7,"Computational Biologist, Entry","Portland, OR",$47K - $64K (Glassdoor est.),Java
Siemens Digital Industries Software4.2,Software Engineer (C++ or Java),"Wilsonville, OR",$96K - $172K (Employer est.),Java
,,,,Java
Deloitte4.0,Java Full Stack Software Engineer - PDM Consultant,"Charlotte, NC",$82K - $115K (Glassdoor est.),Java
Vanguard3.7,Entry Level Application Engineer - 2024 Start Date,"Charlotte, NC",$55K - $79K (Glassdoor est.),Java
Citco3.6,IT Junior Application Support Analyst,"Charlotte, NC",$59K - $80K (Glassdoor est.),Java
Deloitte4.0,Java Full Stack Lead Software Engineer - PDM Senior Consultant,"Charlotte, NC",$96K - $131K (Glassdoor est.),Java
AIG3.7,"Director, Software Engineering, Commercial Underwriting","Charlotte, NC",$113K - $164K (Glassdoor est.),Java
Moody's3.9,Java/Angular Engineer,"Charlotte, NC",$66K - $105K (Glassdoor est.),Java
AIG3.7,Senior Cyber Security Developer,"Charlotte, NC",,Java
Cognizant Technology Solutions3.8,Manager - Projects,"Charlotte, NC",$91K - $123K (Glassdoor est.),Java
Citco3.6,Senior Application Developer,"Charlotte, NC",$91K - $116K (Glassdoor est.),Java
Patson USA4.4,Java Developer,"Charlotte, NC",$45.00 Per Hour (Employer est.),Java
OC10,DEVELOPER/PROGRAMMER (JAVA),"Charlotte, NC",$87K - $122K (Glassdoor est.),Java
Infosys3.3,Selenium Automation Test Lead,"Fort Mill, SC",$66K - $97K (Glassdoor est.),Java
Vanguard3.7,Senior Cloud Application Engineer,"Charlotte, NC",$100K - $132K (Glassdoor est.),Java
Southern Talent Specialists5.0,IT Developer (Java),"Charlotte, NC",$73K - $100K (Glassdoor est.),Java
Software People Inc.,Java Developer,"Charlotte, NC",$65.00 - $70.00 Per Hour (Employer est.),Java
Deloitte4.0,Okta Engineer Senior Consultant (Remote),"Charlotte, NC",$85K - $112K (Glassdoor est.),Java
Vanguard3.7,Full-Stack Engineer - Institutional Investor Group Technology,"Charlotte, NC",$73K - $109K (Glassdoor est.),Java
CapB InfoteK,Java Developer,"Charlotte, NC",$71K - $115K (Glassdoor est.),Java
Liberty Personnel Services4.5,Adobe Experience Manager (AEM) Software Engineer,"Charlotte, NC",$210K (Employer est.),Java
CAMELOT 3PL SOFTWARE3.0,Junior Developer,"Charlotte, NC",$72K - $117K (Glassdoor est.),Java
Vanguard3.7,Android Technical Lead,"Charlotte, NC",$84K - $127K (Glassdoor est.),Java
Microsoft4.3,Software Engineering Manager,"Charlotte, NC",$112K - $218K (Employer est.),Java
Match Inc3.0,Application Developer - Cockroach DB,"Charlotte, NC",$47.00 - $53.00 Per Hour (Employer est.),Java
GlobalLogic USA3.8,Java Developer,"Charlotte, NC",$80K - $110K (Employer est.),Java
CapB InfoteK,Java Business Process Management,"Charlotte, NC",$67K - $100K (Glassdoor est.),Java
Winwire Technologies4.2,Camunda developer (full time),"Charlotte, NC",$102K - $123K (Employer est.),Java
Athena Enterprise Systems,Fullstack JAVA Developer,"Charlotte, NC",$69K - $119K (Glassdoor est.),Java
Agama Solutions4.5,Java Developer,"Charlotte, NC",$74K - $121K (Glassdoor est.),Java
Intone Networks4.3,Senior Java Developer,"Charlotte, NC",$105K - $133K (Glassdoor est.),Java
QuickPractice,"Software Developers, Applications","Charlotte, NC",,Java
,,,,Java
Code Wiz4.4,Coding/Robotics Class Coach,"Lithia, FL",$17.00 - $19.00 Per Hour (Employer est.),Java
Top Stack4.9,Full Stack Developer,"Tampa, FL",$90K - $105K (Employer est.),Java
McNichols3.0,E-Commerce Software Developer,"Tampa, FL",$54K - $82K (Glassdoor est.),Java
"The ACI Group, Inc.4.1",Full Stack Developer,"Tampa, FL",$93K - $110K (Employer est.),Java
"MUFG Bank, Ltd.3.6","Senior Software Engineer (Java, Python, Angular JS), Associate Vice President","Tampa, FL",$110K - $135K (Employer est.),Java
"MUFG Bank, Ltd.3.6","Senior DevSecOps Engineer, AVP","Tampa, FL",$110K - $135K (Employer est.),Java
PMSA Group,Senior Data Engineer,Florida,$130K - $140K (Employer est.),Java
Virtusa3.8,Java Developer,"Tampa, FL",$75K - $121K (Glassdoor est.),Java
Penske Truck Leasing and Logistics3.5,Software Engineer I (Java),"Tampa, FL",$92K - $128K (Glassdoor est.),Java
ID Logistics3.6,Hybrid ( work from home 2 to 3 days a week) IT Project Manager,"Saint Petersburg, FL",$85K - $90K (Employer est.),Java
Peraton3.6,SITEC - Cloud Administrator,"Macdill AFB, FL",$66K - $106K (Employer est.),Java
Airlines Reporting Corporation3.7,Data Engineer,"Tampa, FL",,Java
Procom3.7,Senior Java Developer,"Tampa, FL",$80K - $138K (Glassdoor est.),Java
Peraton3.6,SITEC - Systems Engineer,"Macdill AFB, FL",$66K - $106K (Employer est.),Java
RSHARMA,W2 ONLY – BACKEND JAVA- TAMPA FLORIDA,"Tampa, FL",$120K - $130K (Employer est.),Java
Genspark4.1,Full Stack Java Developer,"Tampa, FL",$55.00 - $60.00 Per Hour (Employer est.),Java
Atlantis IT group3.3,"Java Developer || Tampa, FL || Full Time Permanent","Tampa, FL",$64K - $104K (Glassdoor est.),Java
Raymond James Financial4.1,Lead AI/ML Engineer,"Saint Petersburg, FL",$70K - $97K (Glassdoor est.),Java
Penske Truck Leasing and Logistics3.5,Associate Software Engineer III,"Tampa, FL",$77K - $98K (Glassdoor est.),Java
"MUFG Bank, Ltd.3.6","Oracle Pl/SQL Developer (Identity & Access Management), Associate Vice President","Tampa, FL",$110K - $130K (Employer est.),Java
Seven Seven Global Services Inc4.2,"Java Spring Developer(Hybrid in Tampa, FL)","Tampa, FL",$60.00 - $70.00 Per Hour (Employer est.),Java
Webxloo4.7,Java Developer,"Tampa, FL",$61K - $110K (Glassdoor est.),Java
Agama Solutions4.5,Java Developer,"Tampa, FL",$84K - $107K (Glassdoor est.),Java
Citi3.9,TTS Trims Servicing- Java Full-Stack Developer - Hybrid,"Tampa, FL",$77K - $107K (Employer est.),Java
Elite Insurance Partners4.4,Data Scientist,"Tampa, FL",$90K (Employer est.),Java
Brillio3.6,Contingent Worker,"Tampa, FL",$38K - $59K (Glassdoor est.),Java
WebstaurantStore3.9,Jr. QA Engineer,"Tampa, FL",$54K - $86K (Glassdoor est.),Java
Performing Arts Consultants3.6,Software Developer,"Tampa, FL",$71K - $99K (Glassdoor est.),Java
Suncoast Credit Union4.0,IT Cloud Systems Engineer,"Tampa, FL",$88K - $148K (Employer est.),Java
Elite Insurance Partners4.4,AI Engineer,"Tampa, FL",$100K (Employer est.),Java
,,,,Java
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"San Jose, CA",$30.00 Per Hour (Employer est.),JavaScript
theCoderSchool Palo Alto,Code Coach,"Palo Alto, CA",$18.00 - $30.00 Per Hour (Employer est.),JavaScript
CA-One Tech Cloud Inc3.8,Sr. Node JS Developer,"Sunnyvale, CA",$45.00 - $50.00 Per Hour (Employer est.),JavaScript
Adobe4.4,2024 University Graduate - Software Engineer,"San Jose, CA",$73K - $143K (Employer est.),JavaScript
CA-One Tech Cloud Inc3.8,Sr. Node JS Developer,"Sunnyvale, CA",$50.00 - $55.00 Per Hour (Employer est.),JavaScript
"Element Energy, Inc.3.5",QA Engineer - MLOps Testing Lead,"Menlo Park, CA",$157K - $165K (Employer est.),JavaScript
eTrigue3.2,(1) UI Developer,"San Jose, CA",$100K - $165K (Glassdoor est.),JavaScript
KrishAnsh,API Architect,"San Jose, CA",$129K - $190K (Glassdoor est.),JavaScript
TEKsystems3.8,Javascript/React Engineer,"Cupertino, CA",$70.00 - $80.00 Per Hour (Employer est.),JavaScript
Virtusa3.8,Front End Developer,"San Jose, CA",$85K - $134K (Glassdoor est.),JavaScript
TikTok3.4,Frontend Engineer Graduate (TikTok Eng - Music team) - 2024 Start (BS/MS),"San Jose, CA",$112K - $147K (Employer est.),JavaScript
Celandyne Software Solutions,UI,"Santa Clara, CA",$44K - $81K (Glassdoor est.),JavaScript
Celandyne Software Solutions,Python-Developers,"Santa Clara, CA",$80K - $143K (Glassdoor est.),JavaScript
Tellus Solutions3.9,Frontend Full Stack Engineer,"Sunnyvale, CA",$71.42 Per Hour (Employer est.),JavaScript
Softnet Consulting Inc5.0,"Web Developer- JavaScript, EDI, PHP","San Jose, CA",$92K - $131K (Glassdoor est.),JavaScript
TELLUS SOLUTIONS3.9,Frontend Full Stack Engineer,"Sunnyvale, CA",$71.42 Per Hour (Employer est.),JavaScript
Covestic4.0,Project Coordinator,"San Jose, CA",$34.00 - $37.00 Per Hour (Employer est.),JavaScript
Adobe4.4,Software Development Engineer,"San Jose, CA",$102K - $194K (Employer est.),JavaScript
HireIO4.5,Webmaster,"San Jose, CA",$5K - $6K (Employer est.),JavaScript
CA-One Tech Cloud Inc3.8,Senior Mobile QE || Test Engineer || W2 Only,"Sunnyvale, CA",$80K - $100K (Employer est.),JavaScript
Illumio3.9,Junior UI Engineer,"Sunnyvale, CA",$122K - $140K (Employer est.),JavaScript
Apexon4.1,Engineer-II Job at Apexon,"Santa Clara, CA",$185K (Employer est.),JavaScript
Nutanix4.2,Full Stack Developer,"San Jose, CA",$93K - $185K (Employer est.),JavaScript
Celandyne Software Solutions,FRONT-END,"Santa Clara, CA",$59K - $100K (Glassdoor est.),JavaScript
Calance US3.2,"Technical Content Writer- 100% remote, PST hours","Redwood City, CA",$45.00 - $55.00 Per Hour (Employer est.),JavaScript
Mobistreak,Talented Backend Developer (JavaScript/NodeJS/HapiJS),"San Jose, CA",$124K - $175K (Glassdoor est.),JavaScript
Adobe4.4,Front end Engineer / Firefly,"San Jose, CA",$102K - $194K (Employer est.),JavaScript
Adobe4.4,Research Engineer,"San Jose, CA",$121K - $239K (Employer est.),JavaScript
Celandyne Software Solutions,NodeJS-Developer,"Santa Clara, CA",$87K - $137K (Glassdoor est.),JavaScript
Mediastorm3.2,Professionals in Residence,"Los Gatos, CA",$56K - $99K (Glassdoor est.),JavaScript
,,,,JavaScript
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"San Francisco, CA",$30.00 Per Hour (Employer est.),JavaScript
LeewayHertz4.1,Fullstack Developer,"San Francisco, CA",,JavaScript
Levi Strauss & Co.3.8,F.I.T. Program - Mobile Web Engineer,"San Francisco, CA",$30.00 Per Hour (Employer est.),JavaScript
minware3.9,Junior Front End Engineer,"San Francisco, CA",$80K - $120K (Employer est.),JavaScript
Descript4.3,Webmaster,"San Francisco, CA",$66K - $117K (Glassdoor est.),JavaScript
Tolfrey Group Inc,Lead Software Engineer,"San Francisco, CA",$180K - $220K (Employer est.),JavaScript
"Element Energy, Inc.3.5",QA Engineer - MLOps Testing Lead,"Menlo Park, CA",$157K - $165K (Employer est.),JavaScript
Calance US3.2,APM and Digital Experience Observability Consultant - 100% remote working PST hours,"San Francisco, CA",$80.00 - $100.00 Per Hour (Employer est.),JavaScript
Kforce3.9,Front End Developer,"San Francisco, CA",$60.00 - $78.00 Per Hour (Employer est.),JavaScript
Notion4.8,"Software Engineer, Fullstack","San Francisco, CA",$130K - $250K (Employer est.),JavaScript
Atlassian4.1,"Machine Learning Associate, 2024 Graduate U.S.","San Francisco, CA",$120K - $167K (Glassdoor est.),JavaScript
Notion4.8,"Software Engineer, Backend","San Francisco, CA",$130K - $250K (Employer est.),JavaScript
Sage Solutions3.9,Full Stack Developer,"San Francisco, CA",$72K - $180K (Employer est.),JavaScript
Grande Vitesse Systems (GVS),Programmer,"San Francisco, CA",$101K - $157K (Glassdoor est.),JavaScript
Crunch.io4.3,Data Visualization Specialist,"San Francisco, CA",$72K - $111K (Glassdoor est.),JavaScript
Origin,Full Stack Software Engineer,"San Francisco, CA",$110K - $150K (Employer est.),JavaScript
RippleMatch Opportunities4.2,"Figma - Software Engineer, Early Career (2024), application via RippleMatch","San Francisco, CA",$127K - $190K (Glassdoor est.),JavaScript
Padlet4.6,Software Engineer – Fullstack,"San Francisco, CA",$130K - $195K (Glassdoor est.),JavaScript
Notion4.8,"Software Engineer, Core Product","San Francisco, CA",$130K - $250K (Employer est.),JavaScript
Latch2.4,Software Engineer,"San Francisco, CA",$125K - $165K (Employer est.),JavaScript
Roo4.0,Sr. Full Stack Engineer (Remote),"San Francisco, CA",$145K - $200K (Employer est.),JavaScript
"Bright Pattern, Inc.4.4",Junior Product Manager (Customer Service SaaS),"San Francisco, CA",$85K - $130K (Glassdoor est.),JavaScript
Sparrow3.9,Software Engineer,"San Francisco, CA",$89K - $122K (Glassdoor est.),JavaScript
Prelim,Implementation Engineer,"San Francisco, CA",$100K - $120K (Employer est.),JavaScript
Datameer4.0,Technical Instructor (Contractor),"San Francisco, CA",,JavaScript
Padlet4.6,Software Engineer – Frontend,"San Francisco, CA",$105K - $169K (Glassdoor est.),JavaScript
Forward3.5,"Software Engineer, Growth","San Francisco, CA",$137K - $182K (Glassdoor est.),JavaScript
Descript4.3,Staff Software Engineer - Fullstack,"San Francisco, CA",$160K - $230K (Employer est.),JavaScript
"Stefanini, Inc3.3",Cloud Engineer,"San Francisco, CA",$95.00 - $101.00 Per Hour (Employer est.),JavaScript
Pixels Infotech4.0,Junior Web Designer,"Oakland, CA",$52K - $95K (Glassdoor est.),JavaScript
,,,,JavaScript
IEH Laboratories & Consulting Group2.8,"Web Designer (Seattle, WA)","Lake Forest Park, WA",$22.00 - $24.00 Per Hour (Employer est.),JavaScript
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"Seattle, WA",$30.00 Per Hour (Employer est.),JavaScript
Tacoma Public Utilities4.3,"Applications/Systems Engineer, Principal","Seattle, WA",$121K - $170K (Employer est.),JavaScript
FIS Global3.7,Senior Software Engineer,"Seattle, WA",$115K - $151K (Glassdoor est.),JavaScript
"Akvelon, Inc.4.3",Full-Stack Software Development Engineer,"Bellevue, WA",$50.00 - $70.00 Per Hour (Employer est.),JavaScript
Meta3.9,"Software Engineer, Product","Seattle, WA",$149K - $201K (Glassdoor est.),JavaScript
Cognitive Medical Systems3.8,API Developer,"Seattle, WA",$100K - $140K (Employer est.),JavaScript
University of Washington4.2,FRONT END WEB DEVELOPER,"Seattle, WA",$6K - $7K (Employer est.),JavaScript
Averro4.1,Website Administrator,"Woodinville, WA",$85K - $100K (Employer est.),JavaScript
Microsoft4.3,Software Engineer,"Redmond, WA",$76K - $152K (Employer est.),JavaScript
Snapchat3.7,Solutions Engineer,"Seattle, WA",$111K - $162K (Employer est.),JavaScript
Pinnove,JavaScript UI Developer,"Seattle, WA",$77K - $127K (Glassdoor est.),JavaScript
Siteimprove2.8,SEO Manager,"Bellevue, WA",$85K - $110K (Employer est.),JavaScript
Crushvertise,Jr Media Buyer,"Seattle, WA",$55K - $80K (Glassdoor est.),JavaScript
Bill & Melinda Gates Foundation3.9,"Senior Program Officer, Digital Holistic Student Supports","Seattle, WA",$183K - $283K (Employer est.),JavaScript
Fresh Consulting3.9,Sr. Webflow Designer,"Bellevue, WA",$110K - $140K (Employer est.),JavaScript
Ford Motor Company4.0,Software Engineer,"Redmond, WA",$94K - $125K (Glassdoor est.),JavaScript
TikTok3.4,"Frontend Software Engineer, TikTok User Growth - Traffic Matrix","Seattle, WA",$138K - $238K (Employer est.),JavaScript
Amerit Fleet Solutions4.1,Data Analyst,"Tukwila, WA",$70K - $100K (Employer est.),JavaScript
OMNI Retail Group,JavaScript/Web Application Engineer,"Seattle, WA",$85K - $121K (Glassdoor est.),JavaScript
The Bill & Melinda Gates Foundation3.9,"Senior Program Officer, Digital Holistic Student Supports","Seattle, WA",$183K - $283K (Employer est.),JavaScript
Blink Health2.6,Quality Assurance Engineer,"Seattle, WA",$78K - $111K (Glassdoor est.),JavaScript
Heliosys Technologies4.5,WEB DEVELOPER WORDPRESS - FRESHER,"Bothell, WA",$72K - $114K (Glassdoor est.),JavaScript
TikTok3.4,"Frontend/Full-Stack Software Engineer, TikTok Creator Growth","Seattle, WA",$138K - $238K (Employer est.),JavaScript
Costco Wholesale3.9,Full Stack Engineer - Membership,"Seattle, WA",$108K - $138K (Employer est.),JavaScript
Perilous Orbit,3d ARTIST,"Redmond, WA",$51K - $86K (Glassdoor est.),JavaScript
University of Washington4.2,COMPUTING AND TECHNOLOGY MANAGER,"Seattle, WA",$7K - $11K (Employer est.),JavaScript
Amazon.com Services LLC3.7,"CS Program Specialist, Privacy and Offensive Content (OCP)","Seattle, WA",$33K (Employer est.),JavaScript
Microsoft4.3,Software Engineer,"Redmond, WA",$76K - $152K (Employer est.),JavaScript
Amazon.com Services LLC3.7,"Front End Engineer, Amazon","Seattle, WA",$115K (Employer est.),JavaScript
,,,,JavaScript
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"Boston, MA",$30.00 Per Hour (Employer est.),JavaScript
University of Massachusetts Lowell4.3,Facilities Records Specialist,"Lowell, MA",$42K - $56K (Glassdoor est.),JavaScript
"Abel Womack, Inc.3.8",Software Implementation Specialist,"Lawrence, MA",$55K - $78K (Glassdoor est.),JavaScript
Booz Allen Hamilton4.2,SharePoint Developer,"Natick, MA",$52K - $119K (Employer est.),JavaScript
MNK INFOTECH INC4.3,Tech Lead (Full Stack Java Developer/GCP),"Boston, MA",$92K - $146K (Glassdoor est.),JavaScript
Publicis Sapient3.7,Google Cloud Platform Data Engineer,"Boston, MA",$115K - $150K (Employer est.),JavaScript
Ansys4.2,R&D Engineer II - Systems/Linux,"Waltham, MA",$94K - $128K (Glassdoor est.),JavaScript
SBLI3.2,Full Stack Developer,"Woburn, MA",$120K (Employer est.),JavaScript
Northeastern University4.2,Staff Javascript Programmer,"Boston, MA",$85K - $113K (Glassdoor est.),JavaScript
CABEM Technologies,Software Developer,"Auburndale, MA",,JavaScript
Boston Water and Sewer Commission4.1,Programmer/Analyst,"Boston, MA",$63K - $91K (Glassdoor est.),JavaScript
Publicis Sapient3.7,Senior Analyst - Adobe Analytics Implementation,"Boston, MA",$92K - $138K (Employer est.),JavaScript
Publicis Sapient3.7,Senior Associate (Azure) Data Engineering,"Boston, MA",$91K - $169K (Employer est.),JavaScript
Akeneo4.6,IT Support Technician,"Somerville, MA",$47K - $70K (Glassdoor est.),JavaScript
MIT4.4,Technical Associate I,"Cambridge, MA",$53K - $73K (Glassdoor est.),JavaScript
Amazon.com Services LLC3.7,Amazon Robotics- Business Analyst Co-op Spring 2024,"Boston, MA",$78K - $118K (Glassdoor est.),JavaScript
Publicis Sapient3.7,Adobe Experience Manager - Architect,"Boston, MA",$149K - $180K (Employer est.),JavaScript
Microsoft4.3,Software Engineering II,"Cambridge, MA",$94K - $183K (Employer est.),JavaScript
Harvard University4.3,Web Developer,"Cambridge, MA",,JavaScript
EO of Labor & Work Dvlpmnt3.6,Junior Software and Data Engineer,"Boston, MA",$62K - $89K (Employer est.),JavaScript
InterPro Solutions,Senior Software Engineer,"Stoneham, MA",,JavaScript
Dawn Foods3.4,Full-Stack Engineer,"Boston, MA",$116K - $197K (Employer est.),JavaScript
Massachusetts Medical Society4.1,Medical Illustrator,"Boston, MA",,JavaScript
"Ikigai Labs, Inc.","Software Engineer, Front-End","Cambridge, MA",$83K - $121K (Glassdoor est.),JavaScript
Tufts University4.2,Web Content Specialist,"Boston, MA",$49K - $68K (Glassdoor est.),JavaScript
Publicis Sapient3.7,Senior Developer - Adobe Analytics Implementation,"Boston, MA",$92K - $138K (Employer est.),JavaScript
NetCapital,Junior Software Developer,"Boston, MA",$75K - $118K (Glassdoor est.),JavaScript
Window Book3.4,Über C# dev,"Cambridge, MA",$51K - $81K (Glassdoor est.),JavaScript
Tandym Group3.2,Quality Assurance Technician,"Boston, MA",$44K - $59K (Glassdoor est.),JavaScript
"Visalia, LLC",Programmer Analyst,"Boston, MA",$79K - $113K (Glassdoor est.),JavaScript
,,,,JavaScript
"Axiom Consultants, Inc.2.9",Cyber Range Engineer (CRE),"Coronado, CA",$105K - $130K (Employer est.),JavaScript
"Axiom Consultants, Inc.2.9",Cyber Tool Developer,"Coronado, CA",$115K - $125K (Employer est.),JavaScript
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"San Diego, CA",$30.00 Per Hour (Employer est.),JavaScript
SeeScan Inc.3.6,Software Engineer,"San Diego, CA",$100K - $150K (Employer est.),JavaScript
Forward Slope Inc.4.6,Software Engineer III (Java),"San Diego, CA",$118K - $155K (Employer est.),JavaScript
Forward Slope Inc4.6,Software Engineer IV,"San Diego, CA",$140K - $180K (Employer est.),JavaScript
Digital Force Technologies3.5,Software Engineer,"San Diego, CA",$110K - $150K (Employer est.),JavaScript
Media Reps2.5,Junior Developer,"San Diego, CA",$68K - $110K (Glassdoor est.),JavaScript
"WeMake, Corp.",UX Designer,"San Diego, CA",$140K (Employer est.),JavaScript
Leidos3.8,Computer Operations Specialist,"San Diego, CA",$47K - $85K (Employer est.),JavaScript
Kforce3.9,Front End Developer I,"San Diego, CA",$33.15 - $44.85 Per Hour (Employer est.),JavaScript
TrafficHaus5.0,Junior Developer,"San Diego, CA",$75K - $125K (Glassdoor est.),JavaScript
Bandsintown3.7,Junior Backend Developer,"San Diego, CA",$80K - $120K (Employer est.),JavaScript
Microsoft4.3,Technology Consultant - Application Development - CTJ,"San Diego, CA",$72K - $145K (Employer est.),JavaScript
Biosero Inc.,Internal Applications Scientist,"San Diego, CA",$82K - $122K (Employer est.),JavaScript
BAE Systems4.0,2024 Entry Level Software Engineer,"San Diego, CA",$61K - $98K (Employer est.),JavaScript
Itility US3.9,Software Engineer,"San Diego, CA",$85K - $129K (Glassdoor est.),JavaScript
Biosero,Internal Applications Scientist - San Diego,"San Diego, CA",$80K - $130K (Employer est.),JavaScript
Spathe Systems4.2,Knowledge Systems Specialist- Intermediate,"San Diego, CA",$60K - $75K (Employer est.),JavaScript
Comentum Corp,Support Assistant Genius,"San Diego, CA",$15.00 Per Hour (Employer est.),JavaScript
Error-Free,Javascript Developer,"San Diego, CA",$62K - $102K (Glassdoor est.),JavaScript
Azul Hospitality LLC Headquarters3.7,Marketing Manager - North County,"San Diego, CA",$82K - $116K (Glassdoor est.),JavaScript
Salk Institute for Biological Studies3.5,Research Assistant I,"La Jolla, CA",$18.03 - $21.00 Per Hour (Employer est.),JavaScript
"ICW Group Holdings, Inc3.8",Full Stack Engineer (San Diego - Java Sprint Boot),"San Diego, CA",$99K - $177K (Employer est.),JavaScript
Spathe Systems4.2,Learning Management Specialist - INT,"San Diego, CA",$110K - $122K (Employer est.),JavaScript
Mechlin Software Technology2.9,Python Dev 1+yr( Django) for product,"San Diego, CA",$81K - $130K (Glassdoor est.),JavaScript
Apple4.2,Streaming Media Triage Automation Eng.,"San Diego, CA",,JavaScript
Apple4.2,"Full-Stack Software Engineer, Creativity Apps","San Diego, CA",,JavaScript
ServiceTitan3.5,Staff Machine Learning Applications Engineer,California,,JavaScript
Whova4.1,Software Engineer (full-stack),"San Diego, CA",$70K - $100K (Employer est.),JavaScript
,,,,JavaScript
Tiger River Corporation,SEO & WordPress Specialist,"Arcadia, CA",$50K - $60K (Employer est.),JavaScript
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"Los Angeles, CA",$30.00 Per Hour (Employer est.),JavaScript
American Hartford Gold3.9,Salesforce Developer,"Los Angeles, CA",$195K - $225K (Employer est.),JavaScript
"Code Ninjas Hacienda Heights, CA4.0",Assistant Center Director,"Hacienda Heights, CA",$20.00 Per Hour (Employer est.),JavaScript
AC Infinity Inc.4.0,Front End Web Developer,"Walnut, CA",$55K - $100K (Employer est.),JavaScript
2DG Solutions LLC,IT Support Engineer,"Los Angeles, CA",$30.00 - $40.00 Per Hour (Employer est.),JavaScript
Confidential Investment Company,Business Solutions Architect,"Santa Monica, CA",$85K - $100K (Employer est.),JavaScript
Farmers Insurance Group3.2,Senior UX IT Solution Engineer Lead,"Woodland Hills, CA",$169K - $171K (Employer est.),JavaScript
CodeFu: San Fernando Valley,Coding Instructor,"Studio City, CA",$35.00 - $45.00 Per Hour (Employer est.),JavaScript
Bobrick Washroom Equipment Inc3.7,UX Engineer,"North Hollywood, CA",$102K - $125K (Employer est.),JavaScript
Los Angeles Dodgers LLC3.9,Junior Developer,"Los Angeles, CA",$34.00 - $37.00 Per Hour (Employer est.),JavaScript
Sony Electronics4.2,Junior Web Designer,"Santa Monica, CA",$65K - $70K (Employer est.),JavaScript
Motion Picture Industry Pension & Health Plans2.9,Senior Analyst Developer,"Studio City, CA",$120K - $140K (Employer est.),JavaScript
ValintryTechnology4.8,Mainframe Support Analyst ( Cobol / JCL / Z/OS / Z/VSE ),"El Segundo, CA",$120K - $150K (Employer est.),JavaScript
Citirex,Web Developer,"Los Angeles, CA",$60K - $110K (Glassdoor est.),JavaScript
GotPrint3.7,Web Developer (HTML/JavaScript),"Burbank, CA",,JavaScript
Vistar Media4.4,Technical Analyst,"Los Angeles, CA",$61K - $89K (Glassdoor est.),JavaScript
Northrop Grumman4.0,Senior Principal Systems/Software Test Automation Engineer (Space Systems),"Redondo Beach, CA",$133K - $200K (Employer est.),JavaScript
Giant Magellan Telescope Project (GMT)3.1,JavaScript and Web Developer,"Pasadena, CA",$105K - $135K (Employer est.),JavaScript
Automobile Club of Southern California3.0,SDET - Hybrid,"Los Angeles, CA",$111K - $148K (Employer est.),JavaScript
Los Angeles Unified School District3.6,IT Solution Technician,"Los Angeles, CA",$36.89 Per Hour (Employer est.),JavaScript
PHNTM,Unreal Engine Developer,"Los Angeles, CA",$76K - $128K (Glassdoor est.),JavaScript
GroupM Nexus3.9,"Associate Director, Ad Ops","Los Angeles, CA",$87K - $130K (Glassdoor est.),JavaScript
"Sony Pictures Entertainment, Inc.3.9",Associate Automation Engineer,"Culver City, CA",$66K - $89K (Employer est.),JavaScript
IDG Advertising,Web Project Manager,"Anaheim, CA",,JavaScript
Snapchat3.7,"Application Engineer, Salesforce","Los Angeles, CA",$111K - $162K (Employer est.),JavaScript
CyberCoders3.9,ServiceNow Developer,"Los Angeles, CA",$120K - $135K (Employer est.),JavaScript
"Systems Planning and Analysis, Inc.4.3",Software Solutions Architect,"Los Angeles, CA",$87K - $141K (Glassdoor est.),JavaScript
Global Healthcare IT3.4,Departmental Applications Analyst I,"Los Angeles, CA",$33.00 - $41.00 Per Hour (Employer est.),JavaScript
Edmunds.com4.6,Software Engineer,"Santa Monica, CA",$150K (Employer est.),JavaScript
,,,,JavaScript
LeoRose Consulting,EOG Event Mgmt Engineer :: Integration Engineer,"Austin, TX",$95K - $102K (Employer est.),JavaScript
Optomi LLC,SCADA Engineer,"Austin, TX",$100K - $115K (Employer est.),JavaScript
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"Austin, TX",$30.00 Per Hour (Employer est.),JavaScript
Deloitte4.0,Lead UX Developer - PDM Senior Consultant,"Austin, TX",$99K - $143K (Glassdoor est.),JavaScript
UPLIFT Desk3.7,E-Commerce Product Listing Specialist,"Austin, TX",$23.00 - $26.00 Per Hour (Employer est.),JavaScript
Apple4.2,IS&T Early Career Rotational Program,"Austin, TX",,JavaScript
Cognitive Medical Systems3.8,API Developer,"Austin, TX",$100K - $140K (Employer est.),JavaScript
WeInfuse4.0,Senior Software Developer (6+ Years Software Development Exp. Req.),"Austin, TX",$120K - $140K (Employer est.),JavaScript
TikTok3.4,"Client Services Specialist, SMB NA","Austin, TX",$53K - $79K (Glassdoor est.),JavaScript
"Really Communications, Inc.",Data Engineer,"Austin, TX",$90K - $134K (Glassdoor est.),JavaScript
Centre For Neuro Skills3.9,CRM Application Specialist,"Austin, TX",$95K - $115K (Employer est.),JavaScript
