name-of-company,name-of-job,location,salary,tech
Boston Consulting Group4.3,"Expert Consultant, Project Leader - B2B Sales","San Francisco, CA",,Python
Unum3.8,Python or C++ Developer Advocate: Databases & AI Startup,"San Francisco, CA",$133K - $187K (Glassdoor est.),Python
,,,,Python
Blue Coast Engineering LLC,Coastal Engineer,"Lake Forest Park, WA",$95K - $135K (Employer est.),Python
Blue Coast Engineering LLC,Jr. Coastal or Civil Engineer or Coastal Scientist,"Lake Forest Park, WA",$65K - $95K (Employer est.),Python
Gladiator Technologies,Test Engineer,"Snoqualmie, WA",$85K - $105K (Employer est.),Python
H10 Capital,Technical Program Manager/Experience in Regulatory Environments,"Redmond, WA",$125K - $133K (Employer est.),Python
Coding with Kids3.2,Coding Instructor : K-12 After School Teacher,"Seattle, WA",$17.50 - $19.00 Per Hour (Employer est.),Python
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"Seattle, WA",$30.00 Per Hour (Employer est.),Python
Confidential,AI/ML Engineer,"Bellevue, WA",,Python
NoiseFigure Research4.8,Materials Modeling - Process Engineer,"Redmond, WA",$90K - $150K (Employer est.),Python
Sound Transit3.9,Senior IT Systems Engineer-Linux,"Seattle, WA",$102K - $140K (Glassdoor est.),Python
Patrick Allen Group,Senior Embedded Software Engineer,"Kent, WA",$140K - $170K (Employer est.),Python
"TechGlobal, Inc.",Mid Level Oracle Apex web Developer (Hybrid REMOTE),"Seattle, WA",$105K - $115K (Employer est.),Python
Actalent3.6,Embedded Software Engineer,"Bothell, WA",$60.00 - $80.00 Per Hour (Employer est.),Python
Inspur USA Inc.3.3,Data Engineer & AI Developer (Generative AI & LLMs),"Seattle, WA",$180K - $300K (Employer est.),Python
University of Washington4.2,BIOINFORMATICS ENGINEER,"Seattle, WA",$7K - $11K (Employer est.),Python
"Digital Control, Inc.3.9",Sr. Embedded Software Developer,"Kent, WA",$141K - $167K (Employer est.),Python
Pythonwise5.0,PYTHON DEVELOPER,"Seattle, WA",$92K - $128K (Glassdoor est.),Python
Meta3.9,"QA Engineering Lead, Reality Labs","Seattle, WA",$140K - $203K (Glassdoor est.),Python
Blink Health2.6,Quality Assurance Engineer,"Seattle, WA",$78K - $111K (Glassdoor est.),Python
Medstar Transportation3.1,Full Stack Developer,"Seattle, WA",$97K - $152K (Glassdoor est.),Python
Cerium Networks Inc4.3,Systems Engineer – Security Focus,"Seattle, WA",$92K - $137K (Employer est.),Python
Anker Innovations3.1,Site Reliability Engineer--U.S,"Bellevue, WA",$83K - $126K (Employer est.),Python
Confidential,Senior Software Engineer,"Bellevue, WA",,Python
Clean Power Research4.7,Data Quality Engineer,"Bellevue, WA",$90K - $130K (Employer est.),Python
Fred Hutchinson Cancer Center4.1,Undergrad Research Assistant - Temporary,"Seattle, WA",$20.00 - $25.45 Per Hour (Employer est.),Python
Meta3.9,"Research Engineer, Language - Generative AI","Seattle, WA",$147K - $194K (Glassdoor est.),Python
TikTok3.4,Business Analytics Lead,"Seattle, WA",$140K - $257K (Employer est.),Python
Valley Medical Center3.5,"Software Developer I, II, Sr","Renton, WA",$88K - $171K (Employer est.),Python
TikTok3.4,Analytics Associate - Commerce,"Seattle, WA",$91K - $140K (Employer est.),Python
Rokt3.8,Senior Software Engineer - Seattle,"Seattle, WA",$185K - $230K (Employer est.),Python
Meta3.9,"Performance & Capacity Engineer, Infra","Seattle, WA",$107K - $145K (Glassdoor est.),Python
,,,,Python
SemiNex Corporation,Optoelectronics Engineer,"Danvers, MA",,Python
Boston University4.2,Instructional Computer Laboratory Manager,"Boston, MA",$75K - $85K (Employer est.),Python
E.M. Duggan,BIM Specialist,"Canton, MA",$17.00 - $47.00 Per Hour (Employer est.),Python
Block Engineering2.9,Director of Software for Scientific Instruments,"Southborough, MA",,Python
Energetiq Technology Inc3.4,Senior Scientist Plasma Physics,"Wilmington, MA",$82K - $119K (Glassdoor est.),Python
"Commaris, a brand of Flogistix LP",Engineering Manager,"Woburn, MA",$150K (Employer est.),Python
Berkshire Grey3.0,Principal Mechatronics Engineer - Robotics,"Bedford, MA",$125K - $200K (Employer est.),Python
Native Sun Cannabis1.9,Accounting Manager,"Waltham, MA",$85K - $100K (Employer est.),Python
Christianbook,Solaris/Linux Systems Administrator,"Peabody, MA",,Python
"Quincy Mutual Group, Inc.",Senior Software Developer (Hybrid),"Quincy, MA",$100K - $136K (Glassdoor est.),Python
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"Boston, MA",$30.00 Per Hour (Employer est.),Python
Christianbook,Programmer Analyst,"Peabody, MA",,Python
Astadia3.1,Sr. Network Engineer,"Bedford, MA",$95K - $105K (Employer est.),Python
Health Data Analytics Institute4.3,Senior Data Engineer,"Dedham, MA",$143K - $161K (Employer est.),Python
MORSE Corp4.8,Lead Python Software Engineer,"Cambridge, MA",$113K - $155K (Glassdoor est.),Python
Selby Jennings3.8,Full Stack Engineer,"Boston, MA",$125K - $176K (Glassdoor est.),Python
Computing Concepts Inc3.1,Scrum Master,"Boston, MA",$65.00 Per Hour (Employer est.),Python
Transmedics Inc2.7,Senior Biostatistician,"Andover, MA",$109K - $149K (Employer est.),Python
Liberty Mutual3.8,"Principal Software Engineer, Investments Technology (Private Credit)","Boston, MA",$123K - $212K (Employer est.),Python
MORSE Corp4.8,Python Software Engineer,"Cambridge, MA",$103K - $146K (Glassdoor est.),Python
Strategic Employment3.4,Senior/Lead Python Engineer,"Boston, MA",$150K - $190K (Employer est.),Python
Berkshire Grey3.0,Principal Software Engineer - Motion Planning,"Bedford, MA",$116K - $155K (Glassdoor est.),Python
Lendbuzz4.4,Business Analyst,"Boston, MA",$77K - $111K (Glassdoor est.),Python
hOS3.7,Python Developer,"Boston, MA",$77K - $138K (Glassdoor est.),Python
"Ikigai Labs, Inc.",Machine Learning Engineer,"Cambridge, MA",$91K - $140K (Glassdoor est.),Python
Wayfair3.1,Software Engineer I - Summer 2024,"Boston, MA",$105K - $134K (Glassdoor est.),Python
Lenox Executive Search5.0,Scientific Programmer / Bioinformatics Specialist - PhD,"Waltham, MA",$60.00 - $64.50 Per Hour (Employer est.),Python
Verizon3.8,Senior Data Scientist,"Boston, MA",$119K - $158K (Glassdoor est.),Python
Navyaan LLC - Code Wiz Needham,Coding Coach for Python,"Needham, MA",$16.00 - $18.00 Per Hour (Employer est.),Python
Recorded Future4.4,Intelligence Sourcing Analyst,"Boston, MA",,Python
,,,,Python
"Axiom Consultants, Inc.2.9",Cyber Range Engineer (CRE),"Coronado, CA",$105K - $130K (Employer est.),Python
"Axiom Consultants, Inc.2.9",Cyber Tool Developer,"Coronado, CA",$115K - $125K (Employer est.),Python
Quake Global2.6,Senior Embedded Software Engineer,"San Diego, CA",$150K - $170K (Employer est.),Python
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"San Diego, CA",$30.00 Per Hour (Employer est.),Python
Forward Slope Inc.4.6,Software Engineer III (Java),"San Diego, CA",$118K - $155K (Employer est.),Python
Forward Slope Inc4.6,Software Engineer IV,"San Diego, CA",$140K - $180K (Employer est.),Python
"3DT Holdings, LLC",Analyst,"San Diego, CA",$63K (Employer est.),Python
Digital Force Technologies3.5,Senior Systems Engineer,"San Diego, CA",$100K - $160K (Employer est.),Python
Loyola Enterprises Inc.,West Coast DevOps Developer (Requires TS/SCI Clearance),California,$140K (Employer est.),Python
ASML4.1,Staff Test Software Engineer,"San Diego, CA",$97K - $138K (Glassdoor est.),Python
Digital Force Technologies3.5,Software Engineer,"San Diego, CA",$110K - $150K (Employer est.),Python
Stingray Direct4.5,E-commerce Data Scientist - Health and Wellness - California REMOTE,California,$110K - $130K (Employer est.),Python
Itility US3.9,Data Engineer,"San Diego, CA",$85K - $123K (Glassdoor est.),Python
"Kyocera International, Inc.3.3",Data Analyst,"San Diego, CA",$65K - $100K (Employer est.),Python
Northrop Grumman4.0,Principal Network Engineer,"San Diego, CA",$105K - $157K (Employer est.),Python
VECKTA Corporation4.7,Energy Systems Modeler - Remote / San Diego,"San Diego, CA",,Python
GRAIL3.6,Data Engineer 2 #3328,"San Diego, CA",$115K - $130K (Employer est.),Python
Panty By Post,Entry Level Data Analyst,"San Diego, CA",$51K - $71K (Employer est.),Python
"ICW Group Holdings, Inc3.8",Data Engineer III (San Diego),"San Diego, CA",$102K - $151K (Glassdoor est.),Python
Itility US3.9,Software Engineer,"San Diego, CA",$85K - $129K (Glassdoor est.),Python
ASML4.1,Sr Laser Systems Engineer,"San Diego, CA",$95K - $139K (Glassdoor est.),Python
Boston Consulting Group4.3,"Expert Consultant, Project Leader - B2B Sales","San Diego, CA",,Python
CommScope3.4,SQL Server DBA,"San Diego, CA",$96K - $123K (Employer est.),Python
"ICW Group Holdings, Inc3.8",Full Stack Engineer (San Diego - Java Sprint Boot),"San Diego, CA",$99K - $177K (Employer est.),Python
ASML4.1,Senior Test Software Engineer,"San Diego, CA",$94K - $132K (Glassdoor est.),Python
Own Company3.5,Data Engineer,"San Diego, CA",$102K - $152K (Employer est.),Python
QUANTUM DESIGN INC3.9,Final Test Engineer,"San Diego, CA",$82K - $117K (Glassdoor est.),Python
Biosero Inc.,Internal Applications Scientist,"San Diego, CA",$82K - $122K (Employer est.),Python
Smallboard.com5.0,Senior Software Developer C Python,"San Diego, CA",$110K - $150K (Employer est.),Python
Bandsintown3.7,Junior Backend Developer,"San Diego, CA",$80K - $120K (Employer est.),Python
,,,,Python
CM Solutions4.9,Cost Engineer,"Los Angeles, CA",$45.00 - $65.00 Per Hour (Employer est.),Python
Metro Assoc.,RN - Labor and Delivery PT Nights- 3167576,"Santa Monica, CA",$62K - $124K (Employer est.),Python
Manifold Valley,Haskell Developer,"Los Angeles, CA",$85K - $95K (Employer est.),Python
Ultramet,Materials Engineer,"Pacoima, CA",$76K - $130K (Employer est.),Python
Bionaut Labs4.3,Senior Design Quality Engineer - Software Quality Assurance,"Los Angeles, CA",$120K - $160K (Employer est.),Python
Magikid Robotics Lab San Marino,Robotics Instructor,"San Marino, CA",$21.00 - $26.00 Per Hour (Employer est.),Python
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"Los Angeles, CA",$30.00 Per Hour (Employer est.),Python
Morgner Construction Management4.0,BIM/GIS Coordinator III - Virtual Design and Construction (VDC),"Los Angeles, CA",$73K - $92K (Employer est.),Python
Westcliff University2.9,Adjunct Instructor (Information Technology & Computer Science) - ON CAMPUS,"Santa Monica, CA",$40.00 - $45.00 Per Hour (Employer est.),Python
FEI-Zyfer Inc,Software Engineer,"Garden Grove, CA",$100K - $150K (Employer est.),Python
FEI-Zyfer Inc,Senior Firmware Engineer,"Garden Grove, CA",$140K - $170K (Employer est.),Python
"Motorcar Parts of America, Inc.3.4",Electrical Engineer Level 1,"Torrance, CA",$71K - $75K (Employer est.),Python
2DG Solutions LLC,IT Support Engineer,"Los Angeles, CA",$30.00 - $40.00 Per Hour (Employer est.),Python
Magikid Robotics Lab Diamond Bar,Robotics/Coding Instructor,"Diamond Bar, CA",$18.00 - $25.00 Per Hour (Employer est.),Python
Outpost3.5,Senior Electrical Engineer,"Santa Monica, CA",$140K - $189K (Employer est.),Python
Mattel,"Data Architect - (GCP, Informatica)","El Segundo, CA",$120K - $150K (Employer est.),Python
Magikid Robotics Torrance Lab,Computer Science Instructor,"Torrance, CA",$20.00 - $30.00 Per Hour (Employer est.),Python
ELECTRO RENT CORPORATION3.5,Global Help Desk Technician,"West Hills, CA",$30.00 - $40.00 Per Hour (Employer est.),Python
Loyola Enterprises Inc.,West Coast DevOps Developer (Requires TS/SCI Clearance),California,$140K (Employer est.),Python
Mathnasium Learning Centers4.1,Business Analyst,"Los Angeles, CA",$125K - $150K (Employer est.),Python
Reli.,Junior Software Developer (Python) (Hybrid Remote),"Los Angeles, CA",$65K (Employer est.),Python
Los Angeles Dodgers LLC3.9,Junior Developer,"Los Angeles, CA",$34.00 - $37.00 Per Hour (Employer est.),Python
Los Angeles Dodgers LLC3.9,Junior Data Engineer,"Los Angeles, CA",$34.00 - $37.00 Per Hour (Employer est.),Python
goop3.9,Junior Data Engineer,"Santa Monica, CA",$100K - $115K (Employer est.),Python
Triunity Software4.9,Python Developer with React,"Los Angeles, CA",$140K - $160K (Employer est.),Python
The Los Angeles Film School3.8,IT Systems Analyst,"Los Angeles, CA",$60K - $70K (Employer est.),Python
Autonomous Solutions4.7,Software Developer – Cobot Robotics Specialist,"Pasadena, CA",$30.00 - $40.00 Per Hour (Employer est.),Python
Stingray Direct4.5,E-commerce Data Scientist - Health and Wellness - California REMOTE,California,$110K - $130K (Employer est.),Python
goop3.9,Data Scientist,"Santa Monica, CA",$90K - $103K (Employer est.),Python
Knight Management Insurance Services LLC2.8,Junior Software Developer,"Los Angeles, CA",$64K - $80K (Employer est.),Python
,,,,Python
Optomi LLC,SCADA Engineer,"Austin, TX",$100K - $115K (Employer est.),Python
DataAnnotation4.2,Software Developer - AI Trainer (Contract),"Austin, TX",$30.00 Per Hour (Employer est.),Python
Coding with Kids3.2,Coding Instructor : K-12 After School Teacher,"Austin, TX",$15.50 - $16.50 Per Hour (Employer est.),Python
Indeed4.2,Principal Security Software Engineer,"Austin, TX",$164K - $237K (Employer est.),Python
Indeed4.2,Business Intelligence Developer III,"Austin, TX",$113K - $165K (Employer est.),Python
Deloitte4.0,Java Full Stack Software Engineering Master - PDM Manager,"Austin, TX",$114K - $165K (Glassdoor est.),Python
CyberCoders3.9,UI Developer,"Austin, TX",$100K - $135K (Employer est.),Python
Apiture4.0,Business Analyst,"Austin, TX",$66K - $92K (Glassdoor est.),Python
Logix Fiber Networks2.9,Security Engineer,Texas,,Python
"Really Communications, Inc.",Data Engineer,"Austin, TX",$90K - $134K (Glassdoor est.),Python
GCS Technologies,Senior Technical Support Analyst (Tier 3),"Austin, TX",,Python
WeInfuse4.0,Senior Software Developer (6+ Years Software Development Exp. Req.),"Austin, TX",$120K - $140K (Employer est.),Python
Locks Global Staffing LLC,Python Developer,"Austin, TX",$60.00 - $75.00 Per Hour (Employer est.),Python
