,company,job-title,level
1209,EzHire Cannabis,Marketing Manager - New York,Entry level
1210,Clinique,"Assistant Manager, Product Marketing - Clinique",Not Applicable
1211,Buddha Jewelry Official,Director of Marketing,Full-Time
1212,A&H Management,Brand Marketing Manager,Entry level
1213,Avery Dennison,Brand Manager,Entry level
1214,Lazarus Naturals,"Senior Manager, Brand Marketing",Mid-Senior level
1215,Botanical Hospitality Group ,Marketing Manager,Full-Time
1216,Clinique,"Assistant Manager, Product Marketing - Clinique",Not Applicable
1217,Wellness Pet Company,Senior Brand Manager,Mid-Senior level
1218,Vertice,"Field Marketing Manager, North America",Mid-Senior level
1219,Willow Tree Recruiting,Marketing Director,Director
1220,H&H,Marketing Manager,Mid-Senior level
1221,WSP in the U.S.,Marketing Manager,Mid-Senior level
1222,Avispa,Marketing Manager - Consumer Insights,Mid-Senior level
1223,Openprise,"Director, Product Marketing",Director
1224,Empathy,Marketing Manager,Associate
1225,Smithsonian Enterprises,Email Marketing Manager,Full-Time
1226,Wellness Pet Company,Senior Brand Manager,Mid-Senior level
1227,Clinique,"Assistant Manager, Product Marketing - Clinique",Not Applicable
1228,Lindt & Sprüngli (USA) Inc.,Brand Manager - Excellence,Mid-Senior level
1229,Bosch USA,Shopper Marketing Manager (Hybrid),Associate
1230,Avery Dennison,Brand Manager,Entry level
1231,Andrews Cooper,Director of Marketing,Director
1232,Steel City,Brand Marketing Director,Mid-Senior level
1233,Worldly,Marketing Campaign Manager,Mid-Senior level
1234,Fairmont Miramar Hotel & Bungalows,Director of Marketing,Director
1235,Banza,Brand Marketing Manager,Mid-Senior level
1236,Parade,"Senior Manager, Brand Marketing",Mid-Senior level
1237,Lyft,Product Marketing Manager,Mid-Senior level
1238,Raw Sugar Living,Brand Manager,Mid-Senior level
1239,Google,"Brand Media Marketing Manager, Google Cloud",Not Applicable
1240,SH Hotels & Resorts,Senior Vice President Brand Marketing,Executive
1241,Industrial Color,Marketing Manager,Mid-Senior level
1242,The Cumulus Coffee Company,Brand Marketing Manager,Full-Time
1243,Industrial Color,Marketing Manager,Mid-Senior level
1244,WSP in the U.S.,Marketing Manager,Mid-Senior level
1245,Campbell's,Senior Brand Manager,Mid-Senior level
1246,WSP in the U.S.,Marketing Manager,Mid-Senior level
1247,Amazon,"Product Marketing Manager, Amazon Payments",Mid-Senior level
1248,Simple Mills,"Senior Brand Manager, Innovation Marketing",Mid-Senior level
1249,Amazon,"Sr. Marketing Manager, Amazon Ads",Mid-Senior level
1250,EY,"Brand & Marketing, Assistant Director",Entry level
1251,Amazon,"Marketing Manager, Alcohol, Amazon Fresh Grocery",Mid-Senior level
1252,Blue Nile,Senior Director of Marketing,Director
1253,Rishi Tea & Botanicals,Vice President Marketing,Full-Time
1254,KFC,Assoc. Marketing Manager,Associate
1255,Starbucks,"Associate Brand Manager, Starbucks Reserve Merchandise - Product",Not Applicable
1256,The Cumulus Coffee Company,Brand Marketing Manager,Full-Time
1257,ForceBrands,Associate Brand Manager,Associate
1258,Google,"Brand Media Marketing Manager, Google Cloud",Not Applicable
1259,LifeStyles Healthcare,Brand Manager,Mid-Senior level
1260,Coty,Senior Marketing Manager,Not Applicable
1261,PepsiCo,Customer Account Manager,Associate
1262,PRIME,National Account Manager - Circle K,Mid-Senior level
1263,BODYARMOR Sports Nutrition,District Sales Manager,Mid-Senior level
1264,Tasty Brands,"Director, Retail Sales - Private Brands",Director
1265,PRIME,Director of Sales (C-Store),Director
1266,Hays,"Sr Sales Director, US (JV Footwear Retail - high growth)",Director
1267,PRIME,Director of Sales & Distribution - Mexico,Director
1268,"Del Monte Foods, Inc.",Regional Sales Manager - Foodservice,Associate
1269,LHH,National Account Manager,Mid-Senior level
1270,PRIME,Area Sales Manager,Mid-Senior level
1271,DOLCE&GABBANA,Sales Manager,Not Applicable
1272,Toyota Material Handling,District Sales Manager,Not Applicable
1273,The Barton Partnership,"Senior Director, International Sales & Distribution Strategy",Director
1274,Goodwin Recruiting,National Sales Manager,Executive
1275,ForceBrands,Director of National Sales - Conventional Grocery,Director
1276,Barstool Sports,"Account Manager, Chicago",Entry level
1277,Congo Brands,Director of Sales (C-Store),Director
1278,Swatch Group,Regional Sales Manager,Associate
1279,Davalyn Corporation,Sales Director,Director
1280,Ventura Foods,"Regional Sales Manager II - Midwest (IL, IN, MN, MO, WI)",Mid-Senior level
1281,CV Resources,National Account Manager,Mid-Senior level
1282,Boostlingo,Director of Sales And Business Development,Associate
1283,Honeywell,"Sales Manager, East Region",Mid-Senior level
1284,Stoli® Group,"National Account Manager, On Premise, West",Not Applicable
1285,PRIME,National Account Manager - Circle K,Mid-Senior level
1286,PRIME,Director of Sales & Distribution - Mexico,Director
1287,The Barton Partnership,"Senior Director, International Sales & Distribution Strategy",Director
1288,Barstool Sports,"Account Manager, Chicago",Entry level
1289,Davalyn Corporation,Sales Director,Director
1290,Ventura Foods,"Regional Sales Manager II - Midwest (IL, IN, MN, MO, WI)",Mid-Senior level
1291,CV Resources,National Account Manager,Mid-Senior level
1292,Boostlingo,Director of Sales And Business Development,Associate
1293,The Keller Group,Regional Sales Manager,Mid-Senior level
1294,Honeywell,"Sales Manager, East Region",Mid-Senior level
1295,The Coca-Cola Company,"Director, Sales - Specialty Retail",Director
1296,BODYARMOR Sports Nutrition,District Sales Manager,Mid-Senior level
1297,Ferrero,"National Account Manager, HEB",Mid-Senior level
1298,Danone,"Key Account Manager, Kroger/Albertsons",Not Applicable
1299,Sanofi,"Key Account Manager - St. Petersburg, FL",Mid-Senior level
1300,"Lowe's Companies, Inc.",Pro Territory Sales Manager,Mid-Senior level
1301,Plaid,Account Manager - Territory,Mid-Senior level
1302,Nestlé Purina North America,Account Manager,Mid-Senior level
1303,Tasty Brands,"Director, Retail Sales - Private Brands",Director
1304,Google,"Senior Account Manager, Large Customer Sales",Mid-Senior level
1305,PRIME,Director of Sales (C-Store),Director
1306,Hays,"Sr Sales Director, US (JV Footwear Retail - high growth)",Director
1307,Newell Brands,Key Account Manager,Mid-Senior level
1308,Thomas James Homes,Area Sales Manager - Base salary $125 + Commission,Mid-Senior level
1309,"Del Monte Foods, Inc.",Regional Sales Manager - Foodservice,Associate
1310,Plaid,Account Manager - Territory,Mid-Senior level
1311,Davalyn Corporation,Sales Director,Director
1312,Congo Brands,Area Sales Manager,Mid-Senior level
1313,Davalyn Corporation,Sales Director,Director
1314,Boldr,Director of Sales,Director
1315,Congo Brands,Director of Sales & Distribution - Mexico,Director
1316,ForceBrands,Sales Director,Director
1317,"Medical Careers, Inc.",Regional Sales Manager,Mid-Senior level
1318,Karma and Luck,National Sales Training Manager,Full-Time
1319,Stony Brook University,Regional Sales Manager,Mid-Senior level
1320,"Executive Profiles, Inc.",Sales Manager,Full-Time
1321,Jamaica Bearings Group (JBG),Regional Sales Manager - Aerospace Division - West Coast,Mid-Senior level
1322,EchoPark Automotive,General Sales Manager - Head of Sales,Mid-Senior level
1323,Electriq Power,Area Sales Manager,Director
1324,Satechi,Channel Account Manager,Mid-Senior level
1325,PRIME,Director of Sales (C-Store),Director
1326,Hays,"Sr Sales Director, US (JV Footwear Retail - high growth)",Director
